codigo_snies,nombre_oficial,departamento_principal,universidad_sue
1101,UNIVERSIDAD NACIONAL DE COLOMBIA,Bogotá D.C.,UNIVERSIDAD NACIONAL DE COLOMBIA
1102,UNIVERSIDAD NACIONAL DE COLOMBIA,Antioquia,UNIVERSIDAD NACIONAL DE COLOMBIA
1103,UNIVERSIDAD NACIONAL DE COLOMBIA,Caldas,UNIVERSIDAD NACIONAL DE COLOMBIA
1104,UNIVERSIDAD NACIONAL DE COLOMBIA,Valle del Cauca,UNIVERSIDAD NACIONAL DE COLOMBIA
1125,UNIVERSIDAD NACIONAL DE COLOMBIA,Amazonas,UNIVERSIDAD NACIONAL DE COLOMBIA
1126,UNIVERSIDAD NACIONAL DE COLOMBIA,San Andrés,UNIVERSIDAD NACIONAL DE COLOMBIA
9933,UNIVERSIDAD NACIONAL DE COLOMBIA,Cesar,UNIVERSIDAD NACIONAL DE COLOMBIA
1105,UNIVERSIDAD PEDAGOGICA NACIONAL,Bogotá D.C.,UNIVERSIDAD PEDAGOGICA NACIONAL
1106,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Boyacá,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA
1107,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Boyacá,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA
1108,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Boyacá,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA
1109,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,Boyacá,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA
1110,UNIVERSIDAD DEL CAUCA,Cauca,UNIVERSIDAD DEL CAUCA
1111,UNIVERSIDAD TECNOLOGICA DE PEREIRA,Risaralda,UNIVERSIDAD TECNOLOGICA DE PEREIRA
1112,UNIVERSIDAD DE CALDAS,Caldas,UNIVERSIDAD DE CALDAS
1113,UNIVERSIDAD DE CORDOBA,Córdoba,UNIVERSIDAD DE CORDOBA
1114,UNIVERSIDAD SURCOLOMBIANA,Huila,UNIVERSIDAD SURCOLOMBIANA
1115,UNIVERSIDAD DE LA AMAZONIA,Caquetá,UNIVERSIDAD DE LA AMAZONIA
1117,UNIVERSIDAD MILITAR-NUEVA GRANADA,Bogotá D.C.,UNIVERSIDAD MILITAR-NUEVA GRANADA
1118,UNIVERSIDAD TECNOLOGICA DEL CHOCO,Chocó,UNIVERSIDAD TECNOLOGICA DEL CHOCO
1119,UNIVERSIDAD DE LOS LLANOS,Meta,UNIVERSIDAD DE LOS LLANOS
1120,UNIVERSIDAD POPULAR DEL CESAR,Cesar,UNIVERSIDAD POPULAR DEL CESAR
1121,UNIVERSIDAD-COLEGIO MAYOR DE CUNDINAMARCA,Bogotá D.C.,UNIVERSIDAD COLEGIO MAYOR DE CUNDINAMARCA
1122,UNIVERSIDAD DEL PACIFICO,Valle del Cauca,UNIVERSIDAD DEL PACIFICO
1123,UNIVERSIDAD POPULAR DEL CESAR,Cesar,UNIVERSIDAD POPULAR DEL CESAR
1201,UNIVERSIDAD DE ANTIOQUIA,Antioquia,UNIVERSIDAD DE ANTIOQUIA
1202,UNIVERSIDAD DEL ATLANTICO,Atlántico,UNIVERSIDAD DEL ATLANTICO
1203,UNIVERSIDAD DEL VALLE,Valle del Cauca,UNIVERSIDAD DEL VALLE
1204,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Santander,UNIVERSIDAD INDUSTRIAL DE SANTANDER
1205,UNIVERSIDAD DE CARTAGENA,Bolívar,UNIVERSIDAD DE CARTAGENA
1206,UNIVERSIDAD DE NARIÑO,Nariño,UNIVERSIDAD DE NARIÑO
1207,UNIVERSIDAD DEL TOLIMA,Tolima,UNIVERSIDAD DEL TOLIMA
1208,UNIVERSIDAD DEL QUINDIO,Quindío,UNIVERSIDAD DEL QUINDIO
1209,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Norte de Santander,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER
1210,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Norte de Santander,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER
1212,UNIVERSIDAD DE PAMPLONA,Norte de Santander,UNIVERSIDAD DE PAMPLONA
1213,UNIVERSIDAD DEL MAGDALENA,Magdalena,UNIVERSIDAD DEL MAGDALENA
1214,UNIVERSIDAD DE CUNDINAMARCA,Cundinamarca,UNIVERSIDAD DE CUNDINAMARCA
1215,UNIVERSIDAD DE CUNDINAMARCA,Cundinamarca,UNIVERSIDAD DE CUNDINAMARCA
1216,UNIVERSIDAD DE CUNDINAMARCA,Cundinamarca,UNIVERSIDAD DE CUNDINAMARCA
1217,UNIVERSIDAD DE SUCRE,Sucre,UNIVERSIDAD DE SUCRE
1218,UNIVERSIDAD DE LA GUAJIRA,La Guajira,UNIVERSIDAD DE LA GUAJIRA
1219,UNIVERSIDAD DE ANTIOQUIA,Antioquia,UNIVERSIDAD DE ANTIOQUIA
1220,UNIVERSIDAD DE ANTIOQUIA,Antioquia,UNIVERSIDAD DE ANTIOQUIA
1221,UNIVERSIDAD DE ANTIOQUIA,Antioquia,UNIVERSIDAD DE ANTIOQUIA
1222,UNIVERSIDAD DE ANTIOQUIA,Antioquia,UNIVERSIDAD DE ANTIOQUIA
1223,UNIVERSIDAD DE ANTIOQUIA,Antioquia,UNIVERSIDAD DE ANTIOQUIA
9125,UNIVERSIDAD DE ANTIOQUIA,Antioquia,UNIVERSIDAD DE ANTIOQUIA
1301,UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,Bogotá D.C.,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS
2102,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD,Bogotá D.C.,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA
9105,ESCUELA NAVAL DE CADETES ALMIRANTE PADILLA,Bolívar,ESCUELA NAVAL DE CADETES ALMIRANTE PADILLA
